yr,cls,tech,tech_shr_of_vmt,tech_shr_of_trk
2041,78Sleep,conventional_diesel_ice,0.05063013201113097,0.05104481311593621
2041,78Sleep,fcev,0.3814988730160788,0.4258534813518673
2041,78Sleep,hev,0.3093456149289152,0.2894562443010511
2041,78Sleep,na,0,0
2042,78Sleep,adv_conv,0.2680318582087002,0.24400467567487472
2042,78Sleep,bev,0,0
2042,78Sleep,conventional_diesel_ice,0.05040379008104295,0.05094347551721135
2042,78Sleep,fcev,0.37110958247776604,0.41352633951893764
2042,78Sleep,hev,0.31045476923249105,0.29152550928897614
2042,78Sleep,na,0,0
2043,78Sleep,adv_conv,0.27199416280425165,0.2483978641256945
2043,78Sleep,bev,0,0
2043,78Sleep,conventional_diesel_ice,0.05085160565973454,0.05118881589400887
2043,78Sleep,fcev,0.3675603466944326,0.4090960327675473
2043,78Sleep,hev,0.30959388484158135,0.2913172872127492
2043,78Sleep,na,0,0
2044,78Sleep,adv_conv,0.27252650409332557,0.24934400762637643
2044,78Sleep,bev,0,0
2044,78Sleep,conventional_diesel_ice,0.05078354044294967,0.05112183432554234
2044,78Sleep,fcev,0.3667104681398677,0.4075007433340545
2044,78Sleep,hev,0.30997948732385716,0.29203341471402655
2044,78Sleep,na,0,0
2045,78Sleep,adv_conv,0.274229479955881,0.25109008438887653
2045,78Sleep,bev,3.671628366631707e-5,3.283979837012162e-5
2045,78Sleep,conventional_diesel_ice,0.051197956282112225,0.05134903551843399
2045,78Sleep,fcev,0.3656626103491474,0.4064839413824737
2045,78Sleep,hev,0.30887323712919323,0.29104409891184546
2045,78Sleep,na,0,0
2046,78Sleep,adv_conv,0.27305914178744484,0.24990310063254023
2046,78Sleep,bev,0.0011237364795006572,0.001032007672935759
2046,78Sleep,conventional_diesel_ice,0.051519628511248236,0.05152539115945794
2046,78Sleep,fcev,0.36584226180662893,0.40655821468002273
2046,78Sleep,hev,0.30845523141517744,0.2909812858550432
2046,78Sleep,na,0,0
2047,78Sleep,adv_conv,0.27001341917842936,0.24717653003448664
2047,78Sleep,bev,0.00691845959232927,0.006466217708626643
2047,78Sleep,conventional_diesel_ice,0.05174015529780798,0.051646294353244165
2047,78Sleep,fcev,0.36214295945379393,0.40267711793146915
2047,78Sleep,hev,0.3091850064776396,0.29203383997217314
2047,78Sleep,na,0,0
2048,78Sleep,adv_conv,0.26672684948279457,0.24460591866064413
2048,78Sleep,bev,0.02066343915239977,0.019698949724476854
2048,78Sleep,conventional_diesel_ice,0.05187365471882658,0.0517194850861127
2048,78Sleep,fcev,0.3563588910104825,0.3967950689555825
2048,78Sleep,hev,0.30437716563549666,0.2871805775731836
2048,78Sleep,na,0,0
2049,78Sleep,adv_conv,0.25912047571279834,0.2369938059168124
2049,78Sleep,bev,0.04483468991052423,0.04377330474726568
2049,78Sleep,conventional_diesel_ice,0.051941955421114364,0.051756930790876794
2049,78Sleep,fcev,0.34668569357496126,0.38672842759716
2049,78Sleep,hev,0.29741718538060186,0.28074753094788496
2049,78Sleep,na,0,0
2050,78Sleep,adv_conv,0.24860641313229323,0.22621710189120103
2050,78Sleep,bev,0.08197021801288286,0.0822710134544448
2050,78Sleep,conventional_diesel_ice,0.05187605267662563,0.05172379896643361
2050,78Sleep,fcev,0.33276764783199553,0.37201338639661374
2050,78Sleep,hev,0.2847796683462029,0.26777469929130665
2050,78Sleep,na,0,0
