yr,cls,inc_cost,tot_cost,tech_type,base_cost,fuel_1,fuel_2,range_limited,intro_yr,intro,final,incr_cost,fuel_mo,cost,interval_k_miles,monthly_mi_dep_savings,subsidy,f1_mpgde,f2_mpgde,CD_range,flt,cohort,VMTShr,TruckShr,VMT,price_dge_f1,price_dge_f2,fuel_avail_pref_factor_multiplier,OPDAYS,VMTperday,fuel1_vmtshr,monthly_fuel_cost,base_monthly_fuel_cost,monthly_savings,pref_factor,indifference_calc,inc_cost_adj,adoption_curve,cumulative_proportion_willing_to_adopt,indiv_tech_adoption_rate,adj_indiv_tech_adoption_rate,final_mkt_shr,final_mkt_shr_v7,tech_shr_of_vmt,tech_shr_of_trk,tech_shr_of_vmt_v7,tech_shr_of_trk_v7,conventional_diesel_ice,adv_conv,hev,bev,fcev,na
2026,78Sleep,1650.8697980021368,161021.31665105085,alt,159370.44685304872,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,7.43924368724121,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.1703064004000003,NA,1,250,896.1680079175497,1,7956.474057211189,8114.424829526849,157.9507723156603,0.02371293658878339,0,0.9997019817628758,Moderate,0.9423324261565089,0.04469093813400741,0.04467761941940929,0.023321973382484765,0.02332197338248477,0.0011831478297782035,6.035583853765865e-4,0.0011831478297782035,6.035583853765866e-4,NA,11,NA,NA,NA,NA
2026,78Sleep,9251.428573421907,168621.87542647062,alt,159370.44685304872,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,7.974781982460632,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.1703064004000003,NA,1,250,896.1680079175497,1,7422.165211912611,8114.424829526849,692.2596176142379,0.02371293658878339,0,0.990683163043997,Moderate,0.8707376536273742,0.041295493531863924,0.040910750151609866,0.021355646036924518,0.021355646036924525,0.0010833940099200454,5.526710381378028e-4,0.0010833940099200458,5.52671038137803e-4,NA,NA,14,NA,NA,NA
2026,78Sleep,509059.1834105791,668429.6302636279,alt,159370.44685304872,Electricity,N/A,TRUE,2025,0,0.5,5,5,0,350,0,0,14.674221862320229,1,505.4920507430216,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,10.1967696188,NA,1,250,896.1680079175497,1,12973.457244460946,8114.424829526849,-4859.032414934097,0.02371293658878339,0,4.914957330015568e-13,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,86,NA,NA
2026,78Sleep,126559.32027063987,285929.7671236886,alt,159370.44685304872,Hydrogen,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,9.699113421494348,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,5.167660208643816,NA,1,250,896.1680079175497,1,9947.412101674003,8114.424829526849,-1832.9872721471538,0.02371293658878339,0,0.1734714626522771,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,86,NA
2026,78Sleep,1000000,1159370.4468530486,alt,159370.44685304872,Diesel,N/A,FALSE,2025,0,0,5,5,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.1703064004000003,NA,1,250,896.1680079175497,1,59190.14940280679,8114.424829526849,-51075.72457327994,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,86
2027,78Sleep,2005.3299877146783,163443.97992628836,alt,161438.64993857368,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,7.641022619778418,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.1782780442,NA,1,250,896.1680079175497,1,7765.8429081048525,7907.882907673359,142.03999956850657,0.05960146101105877,0,0.9995714898677991,Moderate,0.8427352129942551,0.10045649987984681,0.10041345325180286,0.050420231442756154,0.050420231442756154,0.0025578704867750763,0.0013048447050693559,0.0025578704867750763,0.0013048447050693559,NA,15,NA,NA,NA,NA
2027,78Sleep,9155.329987714678,170593.97992628836,alt,161438.64993857368,Diesel,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,8.200065373615452,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.1782780442,NA,1,250,896.1680079175497,1,7236.403445441329,7907.882907673359,671.4794622320305,0.05960146101105877,0,0.9911061051692093,Moderate,0.8427352129942551,0.10045649987984681,0.09956305033484611,0.0499932218090467,0.049993221809046695,0.00253620784643448,0.0012937939573116435,0.0025362078464344798,0.0012937939573116433,NA,NA,15,NA,NA,NA
2027,78Sleep,459332.32998771465,620770.9799262884,alt,161438.64993857368,Electricity,N/A,TRUE,2025,0,0.5,5,5,0,350,0,0,14.938314231084103,1,511.20165898475403,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,10.2716506974,NA,1,250,896.1680079175497,1,12837.68899153901,7907.882907673359,-4929.80608386565,0.05960146101105877,0,1.7135948215951657e-10,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,86,NA,NA
2027,78Sleep,109479.32998771468,270917.97992628836,alt,161438.64993857368,Hydrogen,N/A,FALSE,2025,0,0.5,5,5,0,350,0,0,9.925664287739808,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,5.167660208643816,NA,1,250,896.1680079175497,1,9720.36484688034,7907.882907673359,-1812.4819392069812,0.05960146101105877,0,0.2787448912184892,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,86,NA
2027,78Sleep,1000000,1161438.6499385736,alt,161438.64993857368,Diesel,N/A,FALSE,2025,0,0,5,5,0,350,0,0,1,1,0,NCent,>200,0.050731034221433824,0.025879387454831333,224042.00197938742,3.1782780442,NA,1,250,896.1680079175497,1,59338.98132247499,7907.882907673359,-51431.09841480163,0,0,0,Moderate,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,86
