yr,cls,tech,tech_shr_of_vmt,tech_shr_of_trk,tech_shr_of_vmt_v7,tech_shr_of_trk_v7
2022,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2022,78SU,fcev,0,0,0,0
2022,78SU,hev,0,0,0,0
2022,78SU,na,0,0,0,0
2023,78Day,adv_conv,0,0,0,0
2023,78Day,bev,0,0,0,0
2023,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2023,78Day,fcev,0,0,0,0
2023,78Day,hev,0,0,0,0
2023,78Day,na,0,0,0,0
2023,78Sleep,adv_conv,0,0,0,0
2023,78Sleep,bev,0,0,0,0
2023,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2023,78Sleep,fcev,0,0,0,0
2023,78Sleep,hev,0,0,0,0
2023,78Sleep,na,0,0,0,0
2023,78SU,adv_conv,0,0,0,0
2023,78SU,bev,0,0,0,0
2023,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2023,78SU,fcev,0,0,0,0
2023,78SU,hev,0,0,0,0
2023,78SU,na,0,0,0,0
2024,78Day,adv_conv,0,0,0,0
2024,78Day,bev,0,0,0,0
2024,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2024,78Day,fcev,0,0,0,0
2024,78Day,hev,0,0,0,0
2024,78Day,na,0,0,0,0
2024,78Sleep,adv_conv,0,0,0,0
2024,78Sleep,bev,0,0,0,0
2024,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2024,78Sleep,fcev,0,0,0,0
2024,78Sleep,hev,0,0,0,0
2024,78Sleep,na,0,0,0,0
2024,78SU,adv_conv,0,0,0,0
2024,78SU,bev,0,0,0,0
2024,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2024,78SU,fcev,0,0,0,0
2024,78SU,hev,0,0,0,0
2024,78SU,na,0,0,0,0
2025,78Day,adv_conv,0.007623706184004092,0.005867541746798112,0.007623706184004092,0.0058675417467981125
2025,78Day,bev,0,0,0,0
2025,78Day,conventional_diesel_ice,0.9876922836616817,0.9910005969910302,0.9876922836616817,0.9910005969910302
2025,78Day,fcev,0,0,0,0
2025,78Day,hev,0.0046840101543144195,0.003131861262172011,0.0046840101543144195,0.0031318612621720108
2025,78Day,na,0,0,0,0
2025,78Sleep,adv_conv,0.010296371555613582,0.009875052689366707,0.010296371555613582,0.009875052689366707
2025,78Sleep,bev,0,0,0,0
2025,78Sleep,conventional_diesel_ice,0.9841231157020482,0.9852969388869357,0.9841231157020482,0.9852969388869357
2025,78Sleep,fcev,0,0,0,0
2025,78Sleep,hev,0.005580512742338286,0.004828008423697451,0.005580512742338286,0.004828008423697451
2025,78Sleep,na,0,0,0,0
2025,78SU,adv_conv,0.010848660884474358,0.012394390529412491,0.01084866088447436,0.012394390529412491
2025,78SU,bev,0,0,0,0
2025,78SU,conventional_diesel_ice,0.9822545443021998,0.9825739694709471,0.9822545443021998,0.9825739694709471
2025,78SU,fcev,0,0,0,0
2025,78SU,hev,0.006896794813325696,0.005031639999640487,0.006896794813325696,0.005031639999640487
2025,78SU,na,0,0,0,0
2026,78Day,adv_conv,0.015708954400434134,0.011164918793481313,0.015708954400434134,0.011164918793481313
2026,78Day,bev,0,0,0,0
2026,78Day,conventional_diesel_ice,0.9738869706438609,0.9821598572549061,0.9738869706438609,0.9821598572549061
2026,78Day,fcev,0,0,0,0
2026,78Day,hev,0.01040407495570512,0.006675223951612917,0.01040407495570512,0.006675223951612917
2026,78Day,na,0,0,0,0
2026,78Sleep,adv_conv,0.01747278579175514,0.0155306098179041,0.01747278579175514,0.015530609817904098
2026,78Sleep,bev,0,0,0,0
2026,78Sleep,conventional_diesel_ice,0.9702981546628623,0.974128705745416,0.9702981546628623,0.974128705745416
2026,78Sleep,fcev,0,0,0,0
2026,78Sleep,hev,0.012229059545382625,0.010340684436679756,0.012229059545382625,0.010340684436679758
2026,78Sleep,na,0,0,0,0
2026,78SU,adv_conv,0.02758977959968617,0.030544984404901505,0.02758977959968617,0.030544984404901505
2026,78SU,bev,0,0,0,0
2026,78SU,conventional_diesel_ice,0.9539858535036475,0.9558423843567926,0.9539858535036475,0.9558423843567926
2026,78SU,fcev,0,0,0,0
2026,78SU,hev,0.018424366896666208,0.013612631238305988,0.018424366896666208,0.013612631238305988
2026,78SU,na,0,0,0,0
2027,78Day,adv_conv,0.02875422772767746,0.018818335051785713,0.028754227727677457,0.018818335051785713
2027,78Day,bev,0,0,0,0
2027,78Day,conventional_diesel_ice,0.9501692157817382,0.9682871513124646,0.9501692157817382,0.9682871513124646
2027,78Day,fcev,0,0,0,0
2027,78Day,hev,0.021076556490584503,0.012894513635749914,0.021076556490584507,0.012894513635749914
2027,78Day,na,0,0,0,0
2027,78Sleep,adv_conv,0.025006663836889154,0.020624571319191085,0.025006663836889154,0.020624571319191085
2027,78Sleep,bev,0,0,0,0
2027,78Sleep,conventional_diesel_ice,0.9488899624984051,0.9576612989180343,0.9488899624984051,0.9576612989180343
2027,78Sleep,fcev,0,0,0,0
2027,78Sleep,hev,0.026103373664705852,0.021714129762774443,0.026103373664705852,0.021714129762774443
2027,78Sleep,na,0,0,0,0
2027,78SU,adv_conv,0.06698859093612079,0.0723063010445595,0.06698859093612079,0.0723063010445595
2027,78SU,bev,0,0,0,0
2027,78SU,conventional_diesel_ice,0.8858735653917028,0.8923247613048079,0.8858735653917028,0.8923247613048079
2027,78SU,fcev,2.1618843071697043e-6,2.8796316587644414e-7,2.1618843071697043e-6,2.8796316587644414e-7
